ind	name	year	maturity	read_length
CAD1001	OAC_Bayfield	1993	0	100
CAD1002	OAC_Prudence	1999	0	100
CAD1003	OAC_Wallace	2003	0	100
CAD1004	AC_Orford	1999	0	100
CAD1005	Gaillard	1997	0	100
CAD1006	OAC_Prodigy	2005	I	100
CAD1007	AC_Proteina	1999	0	100
CAD1008	Mandarin 	1934	0	100
CAD1009	Evans	1974	0	100
CAD1010	Maple_Presto	1979	0	100
CAD1011	OAC_Ayton	2006	0	100
CAD1012	OAC_Kent	2000	II	100
CAD1013	OAC_Thames	1993	I	100
CAD1014	Dares	1999	0	100
CAD1015	OAC_Lakeview	2006	0	100
CAD1016	OAC_Morris	2001	0	100
CAD1017	Maple_Glen	1987	0	100
CAD1018	Alta	2001	0	100
CAD1019	OAC_Champion	2008	0	100
CAD1020	OT94-47	BRL	0	100
CAD1021	OAC_Erin	1996	0	100
CAD1022	OAC_Petrel/OAC_07-03C	2012	0	100
CAD1023	Majesta	2003	I	100
CAD1025	12S01C-057	BRL	I-II	125
CAD1026	12S04C-043	BRL	I-II	125
CAD1027	QS06099.38J	BRL	0-I	125
CAD1028	QS06099.38JB	BRL	0-I	125
CAD1029	QS06009.25J	BRL	0-I	125
CAD1030	QS06012.30J	BRL	0-I	125
CAD1031	QS06017.35j	BRL	0-I	125
CAD1032	12S01C-074	BRL	I-II	125
CAD1033	12S01C-075	BRL	I-II	125
CAD1034	QS06008.6J	BRL	0-I	125
CAD1035	12S01C-045	BRL	I-II	125
CAD1036	12S02C-024	BRL	I-II	125
CAD1037	QS06094.7J	BRL	0-I	125
CAD1038	12S02C-026	BRL	I-II	125
CAD1039	CERM13.5	BRL	0-I	125
CAD1040	X5302-1-52-3-2-B	BRL	0	125
CAD1041	X5346-1-3-4-4-B	BRL	0	125
CAD1042	QS06087.4J	BRL	0-I	125
CAD1043	QS07001-6	BRL	0-I	125
CAD1044	X5377-1-43-4-2-B	BRL	0	125
CAD1045	X5367-1-96-4-2-B	BRL	0	125
CAD1046	QS4003.28B	BRL	0	125
CAD1047	OACSparta	1993	0	125
CAD1048	OACInwood	1998	I	125
CAD1049	OACOxford	1999	0	125
CAD1050	QS4004P.4J	BRL	0	125
CAD1051	Altesse	1999	0	125
CAD1052	OACEmbro	1995	I	125
CAD1053	OACGinty	2009	I	125
CAD1054	OACGlencoe	1995	II	125
CAD1055	OACClinton	1999	0	125
CAD1056	OACDrayton	2010	0	125
CAD1057	QS5055.43G	BRL	0	125
CAD1058	OACAtwood	1996	0	125
CAD1059	OACHuron	2005	I	125
CAD1060	OAC07-06C	BRL	0	125
CAD1061	QS4039P.15B(G)	BRL	00-0	125
CAD1062	OACSalem	1993	0	125
CAD1063	OACBright	2004	0	125
CAD1064	OACCarman	2006	0	125
CAD1065	OACMadoc	2010	0	125
CAD1066	QS4067P.17j	BRL	0-I	125
CAD1067	QS5085.8Bp	BRL	0	125
CAD1068	OACEclipse	1989	0	125
CAD1069	QS4042.6Bp	BRL	0	125
CAD1070	QS5091.50j	BRL	0-I	125
CAD1071	OACGretna	2006	0	125
CAD1072	DH618(OAC06-18)	2011	0	125
CAD1073	Bloomfield	2010	0	125
CAD1074	OACStratford	1999	I	125
CAD1075	OT11-01	BRL	0	125
CAD1076	SECAN09-42C	BRL	I	125
CAD1077	AC2001	1997	0	125
CAD1078	Kamichis	2003	0	125
CAD1079	ACProteus	1993	0	125
CAD1080	Acme	1953	0	125
CAD1081	MapleAmber	1981	0	125
CAD1082	QGC16T	2007	0	125
CAD1083	ACBravor	1990	0	125
CAD1084	Morsoy	1970	0	125
CAD1085	Rodeo	2004	0	125
CAD1086	OT05-18	BRL	0	125
CAD1087	Roland	2005	0	125
CAD1088	SECAN08-24C	2012	I	125
CAD1089	OAC09-35C	BRL	I	125
CAD1090	9004	1996	0	125
CAD1091	Heather	2010	0	125
CAD1092	MapleIsle	1984	0	125
CAD1093	9063	1995	0	125
CAD1094	OACEramosa	1993	0	125
CAD1095	Jari	2010	0	125
CAD1096	OT09-03	BRL	0	125
CAD1097	Pagoda	1939	0	125
CAD1098	OT02-18	BRL	0	125
CAD1099	X5165-1-28-3-5-B(Garry)	2016	0	125
CAD1100	Dundas	2004	0	125
CAD1101	MapleDonovan	1986	0	125
CAD1102	Toki	2008	0	125
CAD1103	Katrina	2005	I	125
