ind	nreads	readlength
CAD1001	108952098	100
CAD1002	72820394	100
CAD1003	83965846	100
CAD1004	100802486	100
CAD1005	145558060	100
CAD1006	85645370	100
CAD1007	104288384	100
CAD1008	99543668	100
CAD1009	82775350	100
CAD1010	79369148	100
CAD1011	81098432	100
CAD1012	98795142	100
CAD1013	72558534	100
CAD1014	87715824	100
CAD1015	93003300	100
CAD1016	84386188	100
CAD1017	80886102	100
CAD1018	88798006	100
CAD1019	81910356	100
CAD1020	72039748	100
CAD1021	82535742	100
CAD1022	88577006	100
CAD1023	82222522	100
CAD1025	239124702	101
CAD1026	60035880	101
CAD1027	77052522	101
CAD1028	80507756	101
CAD1029	71910456	101
CAD1030	162063158	101
CAD1031	53717640	101
CAD1032	33662822	101
CAD1033	83791196	101
CAD1034	50533310	101
CAD1035	25906592	101
CAD1036	71187260	101
CAD1037	84588980	101
CAD1038	22904088	101
CAD1039	146000088	101
CAD1040	103258020	101
CAD1041	82807398	101
CAD1042	54373420	101
CAD1043	37241678	101
CAD1044	95457920	101
CAD1045	130132158	101
CAD1046	27657744	101
CAD1047	143529012	101
CAD1048	163931946	101
CAD1049	119033126	101
CAD1050	94124892	101
CAD1051	167979246	101
CAD1052	263730254	101
CAD1053	202253922	101
CAD1054	70894160	101
CAD1055	103140236	101
CAD1056	128859734	101
CAD1057	123450950	101
CAD1058	63065358	101
CAD1059	31134084	101
CAD1060	81356674	101
CAD1061	142554642	101
CAD1062	102589088	101
CAD1063	56371688	101
CAD1064	103035622	101
CAD1065	98604044	101
CAD1066	180960260	101
CAD1067	78351096	101
CAD1068	124445686	101
CAD1069	177967424	101
CAD1070	31430728	101
CAD1071	109752796	101
CAD1072	75078808	101
CAD1073	110646148	101
CAD1074	182634934	101
CAD1075	69429284	101
CAD1076	170299548	101
CAD1077	159439726	101
CAD1078	69220098	101
CAD1079	123109478	101
CAD1080	81732220	101
CAD1081	156580438	101
CAD1082	80331938	101
CAD1083	110971850	101
CAD1084	147296958	101
CAD1085	41141206	101
CAD1086	131881174	101
CAD1087	121105768	101
CAD1088	129220422	125
CAD1089	41172774	125
CAD1090	45857474	125
CAD1091	79921724	125
CAD1092	99784016	125
CAD1093	55152302	125
CAD1094	40467178	125
CAD1095	33942258	125
CAD1096	68772378	126
CAD1097	105908238	126
CAD1098	78120934	126
CAD1099	68183604	126
CAD1100	45139868	126
CAD1101	55014004	126
CAD1102	50975600	126
CAD1103	51916680	126
